,author,like_count,comment,authorImage
0,victorrajasa8708,0,Ini Universitas IT keren .kemarin hadiri.wisuda anak saa disana. Acara wisudanya asyk lebih asik dibandingkan saat memghadiri wisuda anak saya lainnya di UPN dan UGM Bravo AMIKOM Sukses,https://yt3.ggpht.com/ytc/AIdro_kW_bXWV7k4rFx3O4HSuLuPPIiF4METw-9WTio0KxCwg4CGcdBkOEn6xuHTqAYiwQcNLQ=s48-c-k-c0x00ffffff-no-rj
1,zainuriadipratama2517,0,Terimakasih amikom .walau gak bekerja di bidang IT tp berkat ilmu kewirausahaan saya jadi pengusaha alhamdulillah 🙏,https://yt3.ggpht.com/ytc/AIdro_kIUAR70zKJWgXzz9mpPJrOpqgJv_JoCVRUAqrStx9O0A=s48-c-k-c0x00ffffff-no-rj
2,FajarSaja-ci8ns,0,Hadirr... Alumni AMIKOM 2004...😁,https://yt3.ggpht.com/ytc/AIdro_n1UKC1gAN-YFZhCUog2kUuCJSGEwpbZCeeUyGChCtqFwdMgMoUCpJptjOM5HdMhNgHCg=s48-c-k-c0x00ffffff-no-rj
3,kajiquran3235,2,S2 PJJ prodi ilmu ttg apa ya,https://yt3.ggpht.com/fZZZ1bQQnm0Ao0OvOxk_7BzS4XM4IctfntO7ALWm5GyttLLh-xK9oa4a0INmWAIDG3q19IYC=s48-c-k-c0x00ffffff-no-rj
4,mamiekfujiastutie6190,4,"Alhamdulilah anakku lulusan sarjana Tehnik Informatika dari AMIKOM baru wisuda kemarin tgl 27/5 2023,semoga ilmunya     berkah kedepannya dan bisa sukses.amiiin ya robbal a&#39;lamiiin.AMIKOM is the best",https://yt3.ggpht.com/ytc/AIdro_kN6VpduN8Xi1XJzaY4WPou5X_IZtlANC05JMm6e0yeWCA=s48-c-k-c0x00ffffff-no-rj
5,keishanurazizah1784,0,disini adakah yang baru masu masuk daftar tahun depan yg gapyear?,https://yt3.ggpht.com/ytc/AIdro_lry5t2S9CBkuXn7Kq1b9WOi6QeOlVNz7kq18pNWnkNZ_GIVopzjXPkqp_Y2rf2p4WTSA=s48-c-k-c0x00ffffff-no-rj
6,shayuntea,0,"kulah disini menyenangkan , alhamdulilah berakrir dengan bekali dari Amikom saya rasa  amikom jagonya, tahun 2001 saya ambil jurusan D3 teknik Informatika,  program PSU menggebrak naluri saya untuk menjadi seorang professional dan menjadi manusia terbuka dan menerima perubahan demi sebuah kemajuan, sebenarnya saya masih merasa gagal karena belum menjadi enterpreneur seperti yang di inginkan oleh prof pak suyanto hahahaha,  tapi saya  bersyukur dengan karier saya, dengan label tukang komputer saya bisa berkarier ke berbagai arah dari mulai edp sampai sekarang jadi HR Manager di sebuah PMA, thanks amikom, spirit perubahan nyata di kampus ini, saya paling suka perpusnya, mau baca buku apa tinggal ngomong ke petugas perpus kalau tidak ada nanti dibelikan , luarrr biasa",https://yt3.ggpht.com/ytc/AIdro_njMOdgeXaaWu4Y9AQjELN2lt412C8Q7Leo0zqDnO32bowg=s48-c-k-c0x00ffffff-no-rj
7,yukcoding,3,"Founder kami sedang kuliah MTI disini, semoga lancar hehe",https://yt3.ggpht.com/ytc/AIdro_kwfZ9CCMN2lOLxvmvZyym1uPCCi61UiNFfGjOzO5l_JQU=s48-c-k-c0x00ffffff-no-rj
8,fifis9553,0,"Maaf, mohon info apakah ada jurusan Hubungan Internasional. Terima Kasih.",https://yt3.ggpht.com/ytc/AIdro_n4EGzyv5NjdvtsKR9dmlAH0Eax3Xd8F_6pHcy8lKs=s48-c-k-c0x00ffffff-no-rj
9,donyariyus4783,0,Siapa yg di tahun 2022 masih lihat video ini? Berarti kita satu server 😁,https://yt3.ggpht.com/ytc/AIdro_lwuKEvP8UeNnB8VIfrLRsE3Rc8dV9zYNkSF_CdwDM=s48-c-k-c0x00ffffff-no-rj
10,natalike5999,0,Lulusan D3 bisa gak lanjut di S1 AMIKOM?,https://yt3.ggpht.com/ytc/AIdro_kha02_9Ul-0i7-bVviA0vGlId-liZzPVQMGzeLqnUygpGthuE1DCRL-f9hmm6Y1aUYKw=s48-c-k-c0x00ffffff-no-rj
11,bobob4111,1,Pendaftaran jalur kip ada kah? Kalo ada gmn caranya min?,https://yt3.ggpht.com/ytc/AIdro_mmkFbVre8Zhjrj8Mf_IPRhwHYbsPARN9pmkNbqIzmA76QuJDkSb74nrsHATmVeWtlysA=s48-c-k-c0x00ffffff-no-rj
12,nohoax271,0,aku angkatan 2008 SI-S1,https://yt3.ggpht.com/ytc/AIdro_m2FBRMkOxZHBoyceQlptCEuUWOjjcq9FrCL05JWtI=s48-c-k-c0x00ffffff-no-rj
13,shabiraaulia370,1,"ah...ah....oke semangat. moga sukses selalu teman teman seperjuangan. salam buat anak kesayangan rifan , salam cut cut",https://yt3.ggpht.com/ytc/AIdro_nlBilyjMA1U52oKK26XZ_UcnniCFBmVBEaZcWRZocnDN18ZKMnESUSGCHsm8S0Thv9RQ=s48-c-k-c0x00ffffff-no-rj
14,sahabat1047,1,Siapa tahun ini yang mau ke amikom ?,https://yt3.ggpht.com/Bd0IHB_Ve78edmtVru85_kAoEDVUYitIKKUoJUxpj8OXKZlIA1gcQ6UZF4V9anDjasQbuYshPw=s48-c-k-c0x00ffffff-no-rj
15,AryDianPratama,0,Buat  Kelas 12 Sekrang Bisa daftar kapan Min?,https://yt3.ggpht.com/ZZkMCzAgNRzbvM1x-HbmIZWU8OwnVkqejaspf47iVY26qqTH5JXooSH4blYXMEQ-Tl1NNptw-Q=s48-c-k-c0x00ffffff-no-rj
16,sofyansofia713,1,"Salam dari Angktan 2003, Banyak sekali kenangan di kampus ku yg tercinta ini, sukses trus Amikom dan seluruh Alumni, buat yg masih blajar disana...Semangat... :)",https://yt3.ggpht.com/ytc/AIdro_kzhqFM0HaKfZ37f3lQfrSH8agLBqQ9qPFoMXs4sYcXahY=s48-c-k-c0x00ffffff-no-rj
